,order_id,customer_id,created_at,event_id,event_name
0,1,409,2021-01-01 02:58:09,2,order_packaged
0,1,409,2021-01-01 09:38:02,3,order_shipped
0,1,409,2021-01-02 08:35:38,3,order_delivered
0,2,917,2021-01-01 04:24:35,2,order_packaged
0,2,917,2021-01-01 13:27:17,3,order_shipped
0,2,917,2021-01-02 07:35:11,3,order_delivered
0,3,743,2021-01-01 05:04:08,2,order_packaged
0,3,743,2021-01-01 12:23:25,3,order_shipped
0,3,743,2021-01-02 11:24:14,3,order_delivered
0,4,585,2021-01-01 07:52:43,2,order_packaged
0,4,585,2021-01-01 16:29:18,3,order_shipped
0,4,585,2021-01-02 13:16:59,3,order_delivered
0,5,774,2021-01-01 05:25:31,2,order_packaged
0,5,774,2021-01-01 13:19:49,3,order_shipped
0,5,774,2021-01-02 12:40:49,3,order_delivered
0,6,662,2021-01-01 09:17:47,2,order_packaged
0,6,662,2021-01-01 18:48:49,3,order_shipped
0,6,662,2021-01-02 09:21:54,3,order_delivered
0,7,60,2021-01-01 09:25:57,2,order_packaged
0,7,60,2021-01-01 18:06:16,3,order_shipped
0,7,60,2021-01-02 14:38:40,3,order_delivered
0,8,855,2021-01-01 12:02:53,2,order_packaged
0,8,855,2021-01-01 20:06:25,3,order_shipped
0,8,855,2021-01-02 16:57:44,3,order_delivered
0,9,728,2021-01-01 09:23:30,2,order_packaged
0,9,728,2021-01-01 15:31:25,3,order_shipped
0,9,728,2021-01-02 16:37:26,3,order_delivered
0,10,268,2021-01-01 10:51:53,2,order_packaged
0,10,268,2021-01-01 17:37:53,3,order_shipped
0,10,268,2021-01-02 18:23:27,3,order_delivered
0,11,116,2021-01-01 14:51:15,2,order_packaged
0,11,116,2021-01-01 23:40:04,3,order_shipped
0,11,116,2021-01-02 22:01:05,3,order_delivered
0,12,408,2021-01-01 14:02:11,2,order_packaged
0,12,408,2021-01-01 19:39:15,3,order_shipped
0,12,408,2021-01-02 18:45:37,3,order_delivered
0,13,299,2021-01-01 13:19:57,2,order_packaged
0,13,299,2021-01-01 19:38:28,3,order_shipped
0,13,299,2021-01-02 14:02:26,3,order_delivered
0,14,272,2021-01-01 14:10:49,2,order_packaged
0,14,272,2021-01-01 19:52:14,3,order_shipped
0,14,272,2021-01-02 18:34:42,3,order_delivered
0,15,782,2021-01-01 16:52:02,2,order_packaged
0,15,782,2021-01-01 23:00:48,3,order_shipped
0,15,782,2021-01-02 23:10:22,3,order_delivered
0,16,589,2021-01-01 17:52:07,2,order_packaged
0,16,589,2021-01-02 03:18:15,3,order_shipped
0,16,589,2021-01-02 23:18:31,3,order_delivered
0,17,736,2021-01-01 17:54:58,2,order_packaged
0,17,736,2021-01-02 00:11:37,3,order_shipped
0,17,736,2021-01-02 20:53:50,3,order_delivered
0,18,443,2021-01-01 18:12:27,2,order_packaged
0,18,443,2021-01-02 00:11:18,3,order_shipped
0,18,443,2021-01-02 22:30:36,3,order_delivered
0,19,500,2021-01-01 20:08:48,2,order_packaged
0,19,500,2021-01-02 04:07:24,3,order_shipped
0,19,500,2021-01-02 21:00:54,3,order_delivered
0,20,753,2021-01-01 21:41:22,2,order_packaged
0,20,753,2021-01-02 06:59:52,3,order_shipped
0,20,753,2021-01-02 23:40:27,3,order_delivered
0,21,729,2021-01-02 00:33:19,2,order_packaged
0,21,729,2021-01-02 09:00:29,3,order_shipped
0,21,729,2021-01-03 04:06:08,3,order_delivered
0,22,519,2021-01-02 01:36:32,2,order_packaged
0,22,519,2021-01-02 09:49:57,3,order_shipped
0,22,519,2021-01-03 09:23:38,3,order_delivered
0,23,165,2021-01-02 05:00:01,2,order_packaged
0,23,165,2021-01-02 12:27:13,3,order_shipped
0,23,165,2021-01-03 06:54:54,3,order_delivered
0,24,470,2021-01-02 05:53:39,2,order_packaged
0,24,470,2021-01-02 12:21:30,3,order_shipped
0,24,470,2021-01-03 13:47:53,3,order_delivered
0,25,716,2021-01-02 06:56:54,2,order_packaged
0,25,716,2021-01-02 15:13:32,3,order_shipped
0,25,716,2021-01-03 15:26:21,3,order_delivered
0,26,14,2021-01-02 06:59:50,2,order_packaged
0,26,14,2021-01-02 13:27:48,3,order_shipped
0,26,14,2021-01-03 08:15:50,3,order_delivered
0,27,447,2021-01-02 09:54:03,2,order_packaged
0,27,447,2021-01-02 17:14:37,3,order_shipped
0,27,447,2021-01-03 13:58:16,3,order_delivered
0,28,664,2021-01-02 11:14:22,2,order_packaged
0,28,664,2021-01-02 17:51:11,3,order_shipped
0,28,664,2021-01-03 18:57:58,3,order_delivered
0,29,769,2021-01-02 11:04:24,2,order_packaged
0,29,769,2021-01-02 19:03:58,3,order_shipped
0,29,769,2021-01-03 18:03:22,3,order_delivered
0,30,796,2021-01-02 12:54:12,2,order_packaged
0,30,796,2021-01-02 19:11:19,3,order_shipped
0,30,796,2021-01-03 13:51:46,3,order_delivered
0,31,454,2021-01-02 15:12:40,2,order_packaged
0,31,454,2021-01-02 21:05:55,3,order_shipped
0,31,454,2021-01-03 19:58:42,3,order_delivered
0,32,156,2021-01-02 17:24:47,2,order_packaged
0,32,156,2021-01-03 00:20:24,3,order_shipped
0,32,156,2021-01-03 18:01:53,3,order_delivered
0,33,42,2021-01-02 18:26:42,2,order_packaged
0,33,42,2021-01-03 04:16:05,3,order_shipped
0,33,42,2021-01-03 18:44:52,3,order_delivered
0,34,210,2021-01-02 21:13:42,2,order_packaged
0,34,210,2021-01-03 06:11:54,3,order_shipped
0,34,210,2021-01-04 01:19:57,3,order_delivered
0,35,559,2021-01-02 21:28:24,2,order_packaged
0,35,559,2021-01-03 04:54:56,3,order_shipped
0,35,559,2021-01-04 00:51:02,3,order_delivered
0,36,76,2021-01-02 20:35:47,2,order_packaged
0,36,76,2021-01-03 03:34:34,3,order_shipped
0,36,76,2021-01-04 00:48:12,3,order_delivered
0,37,558,2021-01-02 22:37:38,2,order_packaged
0,37,558,2021-01-03 08:09:07,3,order_shipped
0,37,558,2021-01-03 23:17:19,3,order_delivered
0,38,787,2021-01-02 23:52:41,2,order_packaged
0,38,787,2021-01-03 09:00:35,3,order_shipped
0,38,787,2021-01-04 01:04:09,3,order_delivered
0,39,561,2021-01-03 02:42:13,2,order_packaged
0,39,561,2021-01-03 08:38:50,3,order_shipped
0,39,561,2021-01-04 09:49:41,3,order_delivered
0,40,949,2021-01-03 01:49:03,2,order_packaged
0,40,949,2021-01-03 11:18:55,3,order_shipped
0,40,949,2021-01-04 04:32:03,3,order_delivered
0,41,94,2021-01-03 04:02:10,2,order_packaged
0,41,94,2021-01-03 12:08:17,3,order_shipped
0,41,94,2021-01-04 04:17:35,3,order_delivered
0,42,279,2021-01-03 04:34:35,2,order_packaged
0,42,279,2021-01-03 13:01:08,3,order_shipped
0,42,279,2021-01-04 12:04:07,3,order_delivered
0,43,824,2021-01-03 04:37:33,2,order_packaged
0,43,824,2021-01-03 11:01:20,3,order_shipped
0,43,824,2021-01-04 10:47:15,3,order_delivered
0,44,725,2021-01-03 05:09:40,2,order_packaged
0,44,725,2021-01-03 13:11:23,3,order_shipped
0,44,725,2021-01-04 09:15:46,3,order_delivered
0,45,435,2021-01-03 06:41:02,2,order_packaged
0,45,435,2021-01-03 13:21:55,3,order_shipped
0,45,435,2021-01-04 10:15:52,3,order_delivered
0,46,959,2021-01-03 06:30:09,2,order_packaged
0,46,959,2021-01-03 12:10:51,3,order_shipped
0,46,959,2021-01-04 14:37:08,3,order_delivered
0,47,5,2021-01-03 08:12:31,2,order_packaged
0,47,5,2021-01-03 14:31:03,3,order_shipped
0,47,5,2021-01-04 14:33:59,3,order_delivered
0,48,70,2021-01-03 12:16:17,2,order_packaged
0,48,70,2021-01-03 18:34:21,3,order_shipped
0,48,70,2021-01-04 14:59:41,3,order_delivered
0,49,135,2021-01-03 13:21:23,2,order_packaged
0,49,135,2021-01-03 21:27:50,3,order_shipped
0,49,135,2021-01-04 13:47:46,3,order_delivered
0,50,760,2021-01-03 15:48:16,2,order_packaged
0,50,760,2021-01-03 23:52:58,3,order_shipped
0,50,760,2021-01-04 18:47:44,3,order_delivered
0,51,824,2021-01-03 17:19:50,2,order_packaged
0,51,824,2021-01-04 01:16:48,3,order_shipped
0,51,824,2021-01-04 18:17:16,3,order_delivered
0,52,624,2021-01-03 17:37:14,2,order_packaged
0,52,624,2021-01-03 23:16:31,3,order_shipped
0,52,624,2021-01-04 21:10:18,3,order_delivered
0,53,533,2021-01-03 20:26:31,2,order_packaged
0,53,533,2021-01-04 03:18:09,3,order_shipped
0,53,533,2021-01-05 04:29:55,3,order_delivered
0,54,254,2021-01-03 20:08:14,2,order_packaged
0,54,254,2021-01-04 02:56:25,3,order_shipped
0,54,254,2021-01-04 20:39:11,3,order_delivered
0,55,360,2021-01-03 22:14:18,2,order_packaged
0,55,360,2021-01-04 03:52:27,3,order_shipped
0,55,360,2021-01-05 05:05:30,3,order_delivered
0,56,330,2021-01-03 23:45:11,2,order_packaged
0,56,330,2021-01-04 06:37:17,3,order_shipped
0,56,330,2021-01-05 06:03:49,3,order_delivered
0,57,683,2021-01-03 23:48:33,2,order_packaged
0,57,683,2021-01-04 08:35:48,3,order_shipped
0,57,683,2021-01-05 03:29:45,3,order_delivered
0,58,570,2021-01-03 22:56:46,2,order_packaged
0,58,570,2021-01-04 06:20:11,3,order_shipped
0,58,570,2021-01-05 04:24:46,3,order_delivered
0,59,965,2021-01-03 23:03:23,2,order_packaged
0,59,965,2021-01-04 06:38:42,3,order_shipped
0,59,965,2021-01-05 06:23:56,3,order_delivered
0,60,335,2021-01-04 02:29:59,2,order_packaged
0,60,335,2021-01-04 11:55:56,3,order_shipped
0,60,335,2021-01-05 07:49:25,3,order_delivered
0,61,421,2021-01-04 02:39:48,2,order_packaged
0,61,421,2021-01-04 11:48:29,3,order_shipped
0,61,421,2021-01-05 09:03:39,3,order_delivered
0,62,567,2021-01-04 02:47:14,2,order_packaged
0,62,567,2021-01-04 12:03:02,3,order_shipped
0,62,567,2021-01-05 08:53:43,3,order_delivered
0,63,925,2021-01-04 04:44:51,2,order_packaged
0,63,925,2021-01-04 12:43:08,3,order_shipped
0,63,925,2021-01-05 10:50:48,3,order_delivered
0,64,649,2021-01-04 06:25:11,2,order_packaged
0,64,649,2021-01-04 15:14:14,3,order_shipped
0,64,649,2021-01-05 12:57:13,3,order_delivered
0,65,536,2021-01-04 07:36:24,2,order_packaged
0,65,536,2021-01-04 16:29:33,3,order_shipped
0,65,536,2021-01-05 09:27:36,3,order_delivered
0,66,737,2021-01-04 10:13:56,2,order_packaged
0,66,737,2021-01-04 18:29:36,3,order_shipped
0,66,737,2021-01-05 13:25:06,3,order_delivered
0,67,892,2021-01-04 10:35:14,2,order_packaged
0,67,892,2021-01-04 18:35:15,3,order_shipped
0,67,892,2021-01-05 17:28:29,3,order_delivered
0,68,636,2021-01-04 11:42:23,2,order_packaged
0,68,636,2021-01-04 19:10:02,3,order_shipped
0,68,636,2021-01-05 16:49:29,3,order_delivered
0,68,636,2021-01-04 12:56:03,2,order_packaged
0,68,636,2021-01-04 20:18:56,3,order_shipped
0,68,636,2021-01-05 16:53:38,3,order_delivered
0,69,938,2021-01-04 13:43:52,2,order_packaged
0,69,938,2021-01-04 22:42:02,3,order_shipped
0,69,938,2021-01-05 17:37:22,3,order_delivered
0,70,425,2021-01-04 14:25:03,2,order_packaged
0,70,425,2021-01-04 20:52:51,3,order_shipped
0,70,425,2021-01-05 19:06:32,3,order_delivered
0,71,15,2021-01-04 15:20:18,2,order_packaged
0,71,15,2021-01-04 23:16:01,3,order_shipped
0,71,15,2021-01-05 19:47:23,3,order_delivered
0,72,276,2021-01-04 16:13:43,2,order_packaged
0,72,276,2021-01-04 23:24:29,3,order_shipped
0,72,276,2021-01-06 00:34:16,3,order_delivered
0,73,427,2021-01-04 16:55:16,2,order_packaged
0,73,427,2021-01-05 02:37:16,3,order_shipped
0,73,427,2021-01-06 00:57:24,3,order_delivered
0,74,477,2021-01-04 15:29:48,2,order_packaged
0,74,477,2021-01-04 22:08:51,3,order_shipped
0,74,477,2021-01-05 22:15:04,3,order_delivered
0,75,598,2021-01-04 20:07:48,2,order_packaged
0,75,598,2021-01-05 05:29:54,3,order_shipped
0,75,598,2021-01-05 22:00:38,3,order_delivered
0,76,120,2021-01-04 17:25:16,2,order_packaged
0,76,120,2021-01-05 00:28:51,3,order_shipped
0,76,120,2021-01-05 17:37:41,3,order_delivered
0,77,870,2021-01-04 22:29:06,2,order_packaged
0,77,870,2021-01-05 07:25:26,3,order_shipped
0,77,870,2021-01-06 02:52:19,3,order_delivered
0,78,291,2021-01-04 20:08:15,2,order_packaged
0,78,291,2021-01-05 05:31:28,3,order_shipped
0,78,291,2021-01-05 21:08:24,3,order_delivered
0,79,627,2021-01-04 22:41:36,2,order_packaged
0,79,627,2021-01-05 04:28:44,3,order_shipped
0,79,627,2021-01-06 06:47:35,3,order_delivered
0,80,970,2021-01-04 19:54:00,2,order_packaged
0,80,970,2021-01-05 03:35:28,3,order_shipped
0,80,970,2021-01-06 01:41:19,3,order_delivered
0,81,259,2021-01-04 21:08:03,2,order_packaged
0,81,259,2021-01-05 05:55:17,3,order_shipped
0,81,259,2021-01-06 02:05:15,3,order_delivered
0,82,637,2021-01-04 22:39:51,2,order_packaged
