,product_id,quantity,customer_id,name,cost,subtotal,order_id,created_at
0,3,1,82,l_ptn,6.99,699.0,1,2021-01-01 02:26:11
1,9,1,82,l_ftn,2.29,229.0,1,2021-01-01 02:26:11
2,12,1,82,l_ext_grv,0.99,99.0,1,2021-01-01 02:26:11
3,3,1,817,l_ptn,6.99,699.0,2,2021-01-01 04:28:46
4,9,1,817,l_ftn,2.29,229.0,2,2021-01-01 04:28:46
5,12,1,817,l_ext_grv,0.99,99.0,2,2021-01-01 04:28:46
6,2,1,678,m_ptn,5.99,599.0,3,2021-01-01 04:52:05
7,6,1,678,l_fr,4.99,499.0,3,2021-01-01 04:52:05
8,8,1,678,m_ftn,1.49,149.0,3,2021-01-01 04:52:05
9,9,1,678,l_ftn,2.29,229.0,3,2021-01-01 04:52:05
10,12,1,678,l_ext_grv,0.99,99.0,3,2021-01-01 04:52:05
11,14,1,678,m_ext_smk,2.99,299.0,3,2021-01-01 04:52:05
12,6,1,449,l_fr,4.99,499.0,4,2021-01-01 07:29:29
13,9,1,449,l_ftn,2.29,229.0,4,2021-01-01 07:29:29
14,12,1,449,l_ext_grv,0.99,99.0,4,2021-01-01 07:29:29
15,5,1,418,m_fr,3.99,399.0,5,2021-01-01 08:16:44
16,9,1,418,l_ftn,2.29,229.0,5,2021-01-01 08:16:44
17,11,1,418,m_ext_grv,0.6,60.0,5,2021-01-01 08:16:44
18,5,1,963,m_fr,3.99,399.0,6,2021-01-01 10:11:22
19,7,1,963,s_ftn,0.99,99.0,6,2021-01-01 10:11:22
20,11,1,963,m_ext_grv,0.6,60.0,6,2021-01-01 10:11:22
21,4,1,918,sm_fr,2.99,299.0,7,2021-01-01 12:37:31
22,8,1,918,m_ftn,1.49,149.0,7,2021-01-01 12:37:31
23,3,1,241,l_ptn,6.99,699.0,8,2021-01-01 12:40:55
24,6,1,241,l_fr,4.99,499.0,8,2021-01-01 12:40:55
25,8,1,241,m_ftn,1.49,149.0,8,2021-01-01 12:40:55
26,12,1,241,l_ext_grv,0.99,99.0,8,2021-01-01 12:40:55
27,15,1,241,l_ext_smk,3.99,399.0,8,2021-01-01 12:40:55
28,5,1,688,m_fr,3.99,399.0,9,2021-01-01 12:48:50
29,8,1,688,m_ftn,1.49,149.0,9,2021-01-01 12:48:50
30,14,1,688,m_ext_smk,2.99,299.0,9,2021-01-01 12:48:50
31,4,1,970,sm_fr,2.99,299.0,10,2021-01-01 14:21:51
32,13,1,970,s_ext_smk,1.99,199.0,10,2021-01-01 14:21:51
33,1,1,666,sm_ptn,3.99,399.0,11,2021-01-01 15:00:11
34,3,1,666,l_ptn,6.99,699.0,11,2021-01-01 15:00:11
35,7,2,666,s_ftn,0.99,198.0,11,2021-01-01 15:00:11
36,10,1,666,s_ext_grv,0.3,30.0,11,2021-01-01 15:00:11
37,1,1,894,sm_ptn,3.99,399.0,12,2021-01-01 16:54:36
38,4,1,894,sm_fr,2.99,299.0,12,2021-01-01 16:54:36
39,9,2,894,l_ftn,2.29,458.0,12,2021-01-01 16:54:36
40,13,1,894,s_ext_smk,1.99,199.0,12,2021-01-01 16:54:36
41,1,1,546,sm_ptn,3.99,399.0,13,2021-01-01 15:52:31
42,10,1,546,s_ext_grv,0.3,30.0,13,2021-01-01 15:52:31
43,5,1,248,m_fr,3.99,399.0,14,2021-01-01 18:17:24
44,7,1,248,s_ftn,0.99,99.0,14,2021-01-01 18:17:24
45,1,1,629,sm_ptn,3.99,399.0,15,2021-01-01 17:55:59
46,10,1,629,s_ext_grv,0.3,30.0,15,2021-01-01 17:55:59
47,6,1,321,l_fr,4.99,499.0,16,2021-01-01 19:05:16
48,9,1,321,l_ftn,2.29,229.0,16,2021-01-01 19:05:16
49,15,1,321,l_ext_smk,3.99,399.0,16,2021-01-01 19:05:16
50,2,1,265,m_ptn,5.99,599.0,17,2021-01-01 19:35:01
51,8,1,265,m_ftn,1.49,149.0,17,2021-01-01 19:35:01
52,11,1,265,m_ext_grv,0.6,60.0,17,2021-01-01 19:35:01
53,4,1,751,sm_fr,2.99,299.0,18,2021-01-01 20:00:58
54,13,1,751,s_ext_smk,1.99,199.0,18,2021-01-01 20:00:58
55,6,1,342,l_fr,4.99,499.0,19,2021-01-01 22:04:33
56,8,1,342,m_ftn,1.49,149.0,19,2021-01-01 22:04:33
57,15,1,342,l_ext_smk,3.99,399.0,19,2021-01-01 22:04:33
58,2,1,907,m_ptn,5.99,599.0,20,2021-01-01 22:12:54
59,4,1,907,sm_fr,2.99,299.0,20,2021-01-01 22:12:54
