,id,form_id,calculated_score,hidden_,landing_id,landed_at,metadata_browser,metadata_network_id,metadata_platform,metadata_referer,metadata_user_agent,submitted_at,token_id
0,9c7f1ab756be75e442c1731794258f4a,BCQVJnrM,905,,a7296f3882bcf2f2730a54fa7d13da3d,2021-01-01 01:09:37,,,,,,2021-01-01 01:10:33,3ff03e5995202cae1d75066adf4dab15
1,e170eeb5672a28240cf1567070c4e9ba,4Szgz90h,514,,c81990adaf6d3b1533e250a2a22a1226,2021-01-01 01:04:11,,,,,,2021-01-01 01:07:49,790f8fc64787d075f98560c59166764e
2,7c5b5f21da7dfedc95f7070ded30de3a,Lnswe4mN,57,,81da68eb0233e4e3eaeb0f1147ff3d60,2021-01-01 00:26:00,,,,,,2021-01-01 00:29:15,51f70b1e615939a3348860a660a72425
3,b518d280af10f70595609b82473f0454,xHQThEtD,323,,39b41f1a92f3d8c5cc447a706ee7ff53,2021-01-01 01:58:13,,,,,,2021-01-01 02:02:22,89b7e966fcd4f4a4db1635c358176cee
4,79e5a4ce586b1ebcaba435e99706448a,cKx37zuM,688,,2f1dd2de1303e330d1ef999548695455,2021-01-01 00:17:57,,,,,,2021-01-01 00:20:22,5e82c0fa38e19988a34bdbd3b78d214b
5,7d872809c4810d707be1a45f5b7b8d66,bnis90mp,-350,,694b6a515cf7702c5125178c355b8ce7,2021-01-01 02:29:37,,,,,,2021-01-01 02:32:55,e42b73bd12d2fd8c40be391802b504aa
6,0cc1fc9758cbd2b8423d1d2865b99406,NA3y3ZPm,-967,,a2d3d815f1617f4a6a2482095aeed780,2021-01-01 00:33:13,,,,,,2021-01-01 00:37:31,06e4337f02388aebcc0898ae95bc68b3
7,5588b43f6d3f10096b1f1be2919385aa,eiqqlfDa,869,,ecf01221ff3c62bd1c22410bc3aa48c3,2021-01-01 01:30:12,,,,,,2021-01-01 01:33:47,bd87ff837a41648b356fe8be44b600b4
8,e5bbeb658abe5dc5de007a484c4cf915,sDSsGFG6,-166,,573e739ed49efb40de1afecaf7871c83,2021-01-01 00:53:53,,,,,,2021-01-01 00:57:34,45507c66f22fd4fe7bcd06b4e7054ffe
9,977860d8fa68ed5b36a83326f7ca065b,bnis90mp,948,,962c673177fa981794b85977b7315531,2021-01-01 01:44:33,,,,,,2021-01-01 01:45:05,db7834a11193b17092e9e2bc06876a35
10,6a9660a470096efa15c2cd12a7fe0b50,xJy9dMdk,855,,8f6785ca936feeb1f16e49bece8127ac,2021-01-01 00:01:29,,,,,,2021-01-01 00:06:28,b9961aec1a0e4b68befbddabdcb457e1
11,f5aad7d2cc7711d71839846f892db1c8,1dRXXlhS,-416,,bd2f2c5034e5020b93f2c95d441b3ef5,2021-01-01 01:33:21,,,,,,2021-01-01 01:35:16,f192e014f523ae8805d718280846817e
12,fe153488767c7f1d345d4a3e08dc558d,GOWEgK5z,328,,d43883e1a688977ec7b09b1707e3c566,2021-01-01 00:30:13,,,,,,2021-01-01 00:34:06,77452dddd442e376be3a081dd21d8330
13,9f72d4f6494ddd896fc7cbe960911862,AmKKC6Z3,-624,,f927cd70ef281414cbc3587f9b3ca462,2021-01-01 02:29:50,,,,,,2021-01-01 02:34:22,af0661d7b2fd5c439960d103af1ce480
14,d6e7730a880b15ec78a4cb4295e7295f,sDSsGFG6,-660,,601c0cb6e9ff02ab17c51bcbd94d7fc8,2021-01-01 00:06:21,,,,,,2021-01-01 00:08:38,8cc78e54fd83899a4945d77afc390c47
15,530e23cb58ce555bd20e92637b90f0d8,mH7ZKWX9,100,,c02a1e8f9d70750340602585b59e6e99,2021-01-01 02:01:55,,,,,,2021-01-01 02:06:15,439c20648c62dfee0f2422346fad9510
16,f215f2993236b3d3629784605f550b07,pgBUOtUs,-843,,8440ad3cd494f5e28a3e2fc7db287815,2021-01-01 00:58:32,,,,,,2021-01-01 00:59:20,b7d6f840d284f709e54d54e0a9944f04
17,ab220608a42893f01aa66a0274f864da,qzCOvwUr,-431,,ac150c1d6b902c3fe8cf18680f5e13f6,2021-01-01 00:05:35,,,,,,2021-01-01 00:06:30,3655e2b8957ba6dcd5558dfa3132604f
18,1159543f987f7806e906ab9a202ef2ec,vPH6HjVp,-210,,00a796c31b961ffac3c42b77dc205790,2021-01-01 02:32:29,,,,,,2021-01-01 02:32:32,3f795c5e14890b333624166690b56390
19,52b6363809bf7cfa492bed57ff132923,SIUxZUz6,343,,ad8c3d002b4ba61b1e44df7ff64ec54f,2021-01-01 01:25:31,,,,,,2021-01-01 01:27:02,a1ba76263ba57a987f31825a0d8e98cb
20,8ca17c03e7083fca9dc8fa369cec4fa6,0skQEjxM,-509,,a9cef78b08b56747a02202fe895d5748,2021-01-01 01:27:44,,,,,,2021-01-01 01:30:47,11d9b2fd80e13dcf293c45a0961e652a
21,780b8dc03d09eb4d36152ef191d937e6,vPH6HjVp,838,,cf7e34e8f59d4d98f565c5ed74aeef86,2021-01-01 01:31:11,,,,,,2021-01-01 01:35:23,52df0b80d5892b6436cc8ee50ada4986
